Retail Client;Article Code;Article Description;Date;Size of Packing Unit;Prognosis (Packing Units);Realised Orders (Packing Units)
Plus Hollander (Superunie);30.12.2019;801505;TRT PRU MID 8x500 STRFP KKZ613 BPR PL8NL;8;400;160
Plus Hollander (Superunie);30.12.2019;804912;TRT GR 5KG TUSVL DT414G PP 8NL;5;360;480
Plus Hollander (Superunie);30.12.2019;873889;R ROMAN 8SGEN 8ST FK618 PKB 7FR;8;10;20
Plus Hollander (Superunie);30.12.2019;874991;R BLMKL 6SLAAN 6ST KKZ618 BPR 7ES;6;55;110
Plus Hollander (Superunie);30.12.2019;883854;VVBBES 12x125 SKOD FK410 BPR PL 7PE;12;100;
Plus Hollander (Superunie);30.12.2019;886333;R BRAA 12x125 SKOD FK410 BPR PL 7MX;12;50;
Plus Hollander (Superunie);30.12.2019;886770;R FRAM 12x125 SKOD FK408 BPR PL 7MA;12;100;
Plus Hollander (Superunie);30.12.2019;887857;R BBES 6x125 S74TS KKZ410 BPR PL 7PE;6;;60
Plus Hollander (Superunie);30.12.2019;888061;BRAA 6x125 S74TS KKZ410 BPR PL 8NL;6;;60
Plus Hollander (Superunie);30.12.2019;888085;R BBES 10x300 S75TS KKZ610 BPR PL 7PE;10;100;40
Plus Hollander (Superunie);30.12.2019;888110;VVR FRAM 10x250 S75TS KKZ610 BPR PL 7MA;10;40;50
Plus Hollander (Superunie);30.12.2019;888119;VVR FRAM 6x125 S73TS KKZ410 BPR PL 7MA;6;;240
Plus Hollander (Superunie);30.12.2019;888249;RBES 6x125 S73TS KKZ410 BPR PL 8NL;6;20;30
Plus Hollander (Superunie);30.12.2019;890194;ARB 30GY 10x250 S22TS KKZ613BPR GB PL9NL;10;400;240
Plus Hollander (Superunie);30.12.2019;894390;VVTRCH FIJNJUAN 8x200STRFP KKZ410BPR PL8;8;200;160
Plus Hollander (Superunie);30.12.2019;897047;R BLMBR 3x2ST EKOSS KKZ416 BPR NA PL 8EU;3;120;
Plus Hollander (Superunie);30.12.2019;897049;R BLMBR3x2ST EKOSS KKZ416 BPRNAPL8ES;3;;120
Plus Hollander (Superunie);30.12.2019;900512;VVR BLMKL4SBIO+ 4ST SEAFKKKZ416BPRBIOPL8;4;80;
Plus Hollander (Superunie);30.12.2019;900525;VVR PAPRD201GBIO+4STFP1STKKZ416BPRBIOPL8;4;120;
Plus Hollander (Superunie);30.12.2019;902742;TCH PRU 10x500 ZAK KKZ416 BPR PL 8NL;10;;260
Plus Hollander (Superunie);30.12.2019;902743;TCH PRU 10x200 ZAK KKZ410 BPR PL 8NL;10;;80
Plus Hollander (Superunie);30.12.2019;902744;TCH MX 10x500 ZAK KKZ416 BPR PL 8NL;10;;130
Plus Hollander (Superunie);30.12.2019;902745;TCH MX 10x200 ZAK KKZ410 BPR PL 8NL;10;;40
Plus Hollander (Superunie);30.12.2019;902849;KK SN 10x5ST ZAK KKZ410 BPR PL 8NL;10;200;180
Plus Hollander (Superunie);30.12.2019;903043;KK SN 10x10ST ZAK KKZ416 BPR PL 8NL;10;200;120
Plus Hollander (Superunie);30.12.2019;906305;VVR TCHPRUBIO+ 8x400 SKFPKKZ613BPRBIOPL8;8;60;
Plus Hollander (Superunie);30.12.2019;906971;TCH MX 10x500 ZAK KKZ416 BPR PL 8EN;10;80;
Plus Hollander (Superunie);30.12.2019;906979;TCH PRU 10x500 ZAK KKZ416 BPR PL 8MA;10;80;
Plus Hollander (Superunie);30.12.2019;906985;TCH PRU 10x200 ZAK KKZ410 BPR PL 8MA;10;80;
Plus Hollander (Superunie);30.12.2019;906990;TCH MX 10x200 ZAK KKZ410 BPR PL 8EN;10;80;
Plus Hollander (Superunie);30.12.2019;907171;VVPAP MIN MXSWBI 10x150ZAK KKZ410BPR PL8;10;120;
Plus Hollander (Superunie);30.12.2019;908010;PAP MIN MXSWBI 10x150ZAK KKZ416BPR PL8ES;10;;160
Plus Hollander (Superunie);30.12.2019;909342;VVR TRTBIO+ 4x500 SFP KKZ416 BPR BIO PL8;4;120;
Plus Hollander (Superunie);30.12.2019;909343;R BBES 4x500 S41TS KKZ410 BPR PL 7PE;4;120;60
Plus Hollander (Superunie);30.12.2019;909361;VVR PAPPUNRDBIO+RAMI4x2STZAKKFKKZ416BPRB;4;40;10
Plus Hollander (Superunie);30.12.2019;909772;VVR BBESBIO+7x300 ST4T KKZ610 BPR BIOPL8;7;20;
Plus Hollander (Superunie);31.12.2019;801505;TRT PRU MID 8x500 STRFP KKZ613 BPR PL8NL;8;120;
Plus Hollander (Superunie);31.12.2019;804912;TRT GR 5KG TUSVL DT414G PP 8NL;5;360;
Plus Hollander (Superunie);31.12.2019;874991;R BLMKL 6SLAAN 6ST KKZ618 BPR 7ES;6;220;110
Plus Hollander (Superunie);31.12.2019;883854;VVBBES 12x125 SKOD FK410 BPR PL 7PE;12;100;
Plus Hollander (Superunie);31.12.2019;886333;R BRAA 12x125 SKOD FK410 BPR PL 7MX;12;50;
Plus Hollander (Superunie);31.12.2019;886770;R FRAM 12x125 SKOD FK408 BPR PL 7MA;12;100;
Plus Hollander (Superunie);31.12.2019;887857;R BBES 6x125 S74TS KKZ410 BPR PL 7PE;6;;120
Plus Hollander (Superunie);31.12.2019;888066;R BRAA 6x125 S74TS KKZ410 BPR PL 7MX;6;;70
Plus Hollander (Superunie);31.12.2019;888085;R BBES 10x300 S75TS KKZ610 BPR PL 7PE;10;50;50
Plus Hollander (Superunie);31.12.2019;888110;VVR FRAM 10x250 S75TS KKZ610 BPR PL 7MA;10;40;70
Plus Hollander (Superunie);31.12.2019;888121;VVR FRAM 6x125 S73TS KKZ410 BPR PL 7PT;6;;160
Plus Hollander (Superunie);31.12.2019;888249;RBES 6x125 S73TS KKZ410 BPR PL 8NL;6;20;30
Plus Hollander (Superunie);31.12.2019;890194;ARB 30GY 10x250 S22TS KKZ613BPR GB PL9NL;10;160;80
Plus Hollander (Superunie);31.12.2019;894390;VVTRCH FIJNJUAN 8x200STRFP KKZ410BPR PL8;8;160;160
Plus Hollander (Superunie);31.12.2019;897047;R BLMBR 3x2ST EKOSS KKZ416 BPR NA PL 8EU;3;120;
Plus Hollander (Superunie);31.12.2019;897049;R BLMBR3x2ST EKOSS KKZ416 BPRNAPL8ES;3;;80
Plus Hollander (Superunie);31.12.2019;900525;VVR PAPRD201GBIO+4STFP1STKKZ416BPRBIOPL8;4;0;160
Plus Hollander (Superunie);31.12.2019;902849;KK SN 10x5ST ZAK KKZ410 BPR PL 8NL;10;50;
Plus Hollander (Superunie);31.12.2019;903043;KK SN 10x10ST ZAK KKZ416 BPR PL 8NL;10;20;20
Plus Hollander (Superunie);31.12.2019;906971;TCH MX 10x500 ZAK KKZ416 BPR PL 8EN;10;80;
Plus Hollander (Superunie);31.12.2019;906979;TCH PRU 10x500 ZAK KKZ416 BPR PL 8MA;10;80;
Plus Hollander (Superunie);31.12.2019;906985;TCH PRU 10x200 ZAK KKZ410 BPR PL 8MA;10;80;80
Plus Hollander (Superunie);31.12.2019;906990;TCH MX 10x200 ZAK KKZ410 BPR PL 8EN;10;80;
Plus Hollander (Superunie);31.12.2019;907171;VVPAP MIN MXSWBI 10x150ZAK KKZ410BPR PL8;10;30;
Plus Hollander (Superunie);31.12.2019;909343;R BBES 4x500 S41TS KKZ410 BPR PL 7PE;4;120;120
Plus Hollander (Superunie);31.12.2019;909772;VVR BBESBIO+7x300 ST4T KKZ610 BPR BIOPL8;7;20;20
Plus Hollander (Superunie);31.12.2019;909836;VVR BLMKL4SBIO+ 4ST SEAFKKKZ416BPRBIOSU8;4;80;30
Plus Hollander (Superunie);31.12.2019;909872;VVR PAPRD201GBIO+10STFP1STKKZ416BPRBIOSU;10;120;
Plus Hollander (Superunie);31.12.2019;909876;VVR TCHPRUBIO+ 8x400 SFP KKZ613BPRBIOSU8;8;40;20
Plus Hollander (Superunie);31.12.2019;909877;VVR TRTBIO+ 4x500 SFP KKZ416 BPR BIO SU8;4;120;180
Plus Hollander (Superunie);31.12.2019;909878;R PAPPUNRDBIO+RAMI4x2STZAKKFKKZ416BPRBIO;4;40;60
Plus Hollander (Superunie);01.01.2020;801714;VVPAP RD GG 12ST PO1LG KKZ416 BPR PL 8ES;12;;240
Plus Hollander (Superunie);02.01.2020;801505;TRT PRU MID 8x500 STRFP KKZ613 BPR PL8NL;8;480;320
Plus Hollander (Superunie);02.01.2020;801714;VVPAP RD GG 12ST PO1LG KKZ416 BPR PL 8ES;12;;1.320
Plus Hollander (Superunie);02.01.2020;804912;TRT GR 5KG TUSVL DT414G PP 8NL;5;360;120
Plus Hollander (Superunie);02.01.2020;874991;R BLMKL 6SLAAN 6ST KKZ618 BPR 7ES;6;220;110
Plus Hollander (Superunie);02.01.2020;883854;VVBBES 12x125 SKOD FK410 BPR PL 7PE;12;100;
Plus Hollander (Superunie);02.01.2020;886333;R BRAA 12x125 SKOD FK410 BPR PL 7MX;12;100;
Plus Hollander (Superunie);02.01.2020;886770;R FRAM 12x125 SKOD FK408 BPR PL 7MA;12;100;
Plus Hollander (Superunie);02.01.2020;887857;R BBES 6x125 S74TS KKZ410 BPR PL 7PE;6;;120
Plus Hollander (Superunie);02.01.2020;888066;R BRAA 6x125 S74TS KKZ410 BPR PL 7MX;6;;60
Plus Hollander (Superunie);02.01.2020;888085;R BBES 10x300 S75TS KKZ610 BPR PL 7PE;10;120;60
Plus Hollander (Superunie);02.01.2020;888110;VVR FRAM 10x250 S75TS KKZ610 BPR PL 7MA;10;40;40
Plus Hollander (Superunie);02.01.2020;888249;RBES 6x125 S73TS KKZ410 BPR PL 8NL;6;20;70
Plus Hollander (Superunie);02.01.2020;890194;ARB 30GY 10x250 S22TS KKZ613BPR GB PL9NL;10;240;160
Plus Hollander (Superunie);02.01.2020;894390;VVTRCH FIJNJUAN 8x200STRFP KKZ410BPR PL8;8;160;200
Plus Hollander (Superunie);02.01.2020;897047;R BLMBR 3x2ST EKOSS KKZ416 BPR NA PL 8EU;3;240;
Plus Hollander (Superunie);02.01.2020;897049;R BLMBR3x2ST EKOSS KKZ416 BPRNAPL8ES;3;;120
Plus Hollander (Superunie);02.01.2020;902849;KK SN 10x5ST ZAK KKZ410 BPR PL 8NL;10;160;
Plus Hollander (Superunie);02.01.2020;903043;KK SN 10x10ST ZAK KKZ416 BPR PL 8NL;10;60;
Plus Hollander (Superunie);02.01.2020;906971;TCH MX 10x500 ZAK KKZ416 BPR PL 8EN;10;80;
Plus Hollander (Superunie);02.01.2020;906979;TCH PRU 10x500 ZAK KKZ416 BPR PL 8MA;10;80;
Plus Hollander (Superunie);02.01.2020;906985;TCH PRU 10x200 ZAK KKZ410 BPR PL 8MA;10;80;80
Plus Hollander (Superunie);02.01.2020;906990;TCH MX 10x200 ZAK KKZ410 BPR PL 8EN;10;80;40
Plus Hollander (Superunie);02.01.2020;907171;VVPAP MIN MXSWBI 10x150ZAK KKZ410BPR PL8;10;160;
Plus Hollander (Superunie);02.01.2020;909343;R BBES 4x500 S41TS KKZ410 BPR PL 7PE;4;120;50
Plus Hollander (Superunie);02.01.2020;909772;VVR BBESBIO+7x300 ST4T KKZ610 BPR BIOPL8;7;20;20
Plus Hollander (Superunie);02.01.2020;909836;VVR BLMKL4SBIO+ 4ST SEAFKKKZ416BPRBIOSU8;4;80;
Plus Hollander (Superunie);02.01.2020;909837;VVR BLMKL4SBIO+ 4ST SEAL KKZ416BPRBIOSU8;4;;180
Plus Hollander (Superunie);02.01.2020;909872;VVR PAPRD201GBIO+10STFP1STKKZ416BPRBIOSU;10;120;
Plus Hollander (Superunie);02.01.2020;909876;VVR TCHPRUBIO+ 8x400 SFP KKZ613BPRBIOSU8;8;40;80
Plus Hollander (Superunie);02.01.2020;909877;VVR TRTBIO+ 4x500 SFP KKZ416 BPR BIO SU8;4;120;21
Plus Hollander (Superunie);02.01.2020;909878;R PAPPUNRDBIO+RAMI4x2STZAKKFKKZ416BPRBIO;4;40;60
Plus Hollander (Superunie);03.01.2020;801505;TRT PRU MID 8x500 STRFP KKZ613 BPR PL8NL;8;400;400
Plus Hollander (Superunie);03.01.2020;804912;TRT GR 5KG TUSVL DT414G PP 8NL;5;360;720
Plus Hollander (Superunie);03.01.2020;873889;R ROMAN 8SGEN 8ST FK618 PKB 7FR;8;10;
Plus Hollander (Superunie);03.01.2020;874991;R BLMKL 6SLAAN 6ST KKZ618 BPR 7ES;6;110;110
Plus Hollander (Superunie);03.01.2020;883854;VVBBES 12x125 SKOD FK410 BPR PL 7PE;12;60;
Plus Hollander (Superunie);03.01.2020;886333;R BRAA 12x125 SKOD FK410 BPR PL 7MX;12;50;
Plus Hollander (Superunie);03.01.2020;886770;R FRAM 12x125 SKOD FK408 BPR PL 7MA;12;100;
Plus Hollander (Superunie);03.01.2020;887857;R BBES 6x125 S74TS KKZ410 BPR PL 7PE;6;120;120
Plus Hollander (Superunie);03.01.2020;888061;BRAA 6x125 S74TS KKZ410 BPR PL 8NL;6;60;60
Plus Hollander (Superunie);03.01.2020;888085;R BBES 10x300 S75TS KKZ610 BPR PL 7PE;10;1.750;1.750
Plus Hollander (Superunie);03.01.2020;888110;VVR FRAM 10x250 S75TS KKZ610 BPR PL 7MA;10;40;50
Plus Hollander (Superunie);03.01.2020;888119;VVR FRAM 6x125 S73TS KKZ410 BPR PL 7MA;6;120;
Plus Hollander (Superunie);03.01.2020;888121;VVR FRAM 6x125 S73TS KKZ410 BPR PL 7PT;6;;80
Plus Hollander (Superunie);03.01.2020;888249;RBES 6x125 S73TS KKZ410 BPR PL 8NL;6;20;50
Plus Hollander (Superunie);03.01.2020;890194;ARB 30GY 10x250 S22TS KKZ613BPR GB PL9NL;10;160;360
Plus Hollander (Superunie);03.01.2020;894390;VVTRCH FIJNJUAN 8x200STRFP KKZ410BPR PL8;8;600;360
Plus Hollander (Superunie);03.01.2020;897047;R BLMBR 3x2ST EKOSS KKZ416 BPR NA PL 8EU;3;180;
Plus Hollander (Superunie);03.01.2020;897049;R BLMBR3x2ST EKOSS KKZ416 BPRNAPL8ES;3;;240
Plus Hollander (Superunie);03.01.2020;902849;KK SN 10x5ST ZAK KKZ410 BPR PL 8NL;10;120;
Plus Hollander (Superunie);03.01.2020;903043;KK SN 10x10ST ZAK KKZ416 BPR PL 8NL;10;80;31
Plus Hollander (Superunie);03.01.2020;906296;R KK SN 10x10ST ZAK KKZ416 BPR PL 8ES;10;;49
Plus Hollander (Superunie);03.01.2020;906714;TCH PRU 10x200 ZAK KKZ410 BPR PL 8ES;10;;240
Plus Hollander (Superunie);03.01.2020;906971;TCH MX 10x500 ZAK KKZ416 BPR PL 8EN;10;100;130
Plus Hollander (Superunie);03.01.2020;906979;TCH PRU 10x500 ZAK KKZ416 BPR PL 8MA;10;100;
Plus Hollander (Superunie);03.01.2020;906981;TCH PRU 10x500 ZAK KKZ416 BPR PL 8ES;10;;390
Plus Hollander (Superunie);03.01.2020;906985;TCH PRU 10x200 ZAK KKZ410 BPR PL 8MA;10;100;
Plus Hollander (Superunie);03.01.2020;906990;TCH MX 10x200 ZAK KKZ410 BPR PL 8EN;10;80;200
Plus Hollander (Superunie);03.01.2020;907171;VVPAP MIN MXSWBI 10x150ZAK KKZ410BPR PL8;10;80;
Plus Hollander (Superunie);03.01.2020;908010;PAP MIN MXSWBI 10x150ZAK KKZ416BPR PL8ES;10;;100
Plus Hollander (Superunie);03.01.2020;909343;R BBES 4x500 S41TS KKZ410 BPR PL 7PE;4;120;70
Plus Hollander (Superunie);03.01.2020;909772;VVR BBESBIO+7x300 ST4T KKZ610 BPR BIOPL8;7;20;20
Plus Hollander (Superunie);03.01.2020;909836;VVR BLMKL4SBIO+ 4ST SEAFKKKZ416BPRBIOSU8;4;80;20
Plus Hollander (Superunie);03.01.2020;909872;VVR PAPRD201GBIO+10STFP1STKKZ416BPRBIOSU;10;40;120
Plus Hollander (Superunie);03.01.2020;909876;VVR TCHPRUBIO+ 8x400 SFP KKZ613BPRBIOSU8;8;60;30
Plus Hollander (Superunie);03.01.2020;909877;VVR TRTBIO+ 4x500 SFP KKZ416 BPR BIO SU8;4;120;360
Plus Hollander (Superunie);03.01.2020;909878;R PAPPUNRDBIO+RAMI4x2STZAKKFKKZ416BPRBIO;4;60;60
Plus Hollander (Superunie);04.01.2020;801505;TRT PRU MID 8x500 STRFP KKZ613 BPR PL8NL;8;400;400
Plus Hollander (Superunie);04.01.2020;804912;TRT GR 5KG TUSVL DT414G PP 8NL;5;360;480
Plus Hollander (Superunie);04.01.2020;873889;R ROMAN 8SGEN 8ST FK618 PKB 7FR;8;0;10
Plus Hollander (Superunie);04.01.2020;874991;R BLMKL 6SLAAN 6ST KKZ618 BPR 7ES;6;110;110
Plus Hollander (Superunie);04.01.2020;883854;VVBBES 12x125 SKOD FK410 BPR PL 7PE;12;60;
Plus Hollander (Superunie);04.01.2020;886333;R BRAA 12x125 SKOD FK410 BPR PL 7MX;12;50;
Plus Hollander (Superunie);04.01.2020;886770;R FRAM 12x125 SKOD FK408 BPR PL 7MA;12;100;
Plus Hollander (Superunie);04.01.2020;887857;R BBES 6x125 S74TS KKZ410 BPR PL 7PE;6;120;200
Plus Hollander (Superunie);04.01.2020;888061;BRAA 6x125 S74TS KKZ410 BPR PL 8NL;6;60;
Plus Hollander (Superunie);04.01.2020;888066;R BRAA 6x125 S74TS KKZ410 BPR PL 7MX;6;;80
Plus Hollander (Superunie);04.01.2020;888085;R BBES 10x300 S75TS KKZ610 BPR PL 7PE;10;1.300;1.300
Plus Hollander (Superunie);04.01.2020;888110;VVR FRAM 10x250 S75TS KKZ610 BPR PL 7MA;10;40;
Plus Hollander (Superunie);04.01.2020;888119;VVR FRAM 6x125 S73TS KKZ410 BPR PL 7MA;6;120;
Plus Hollander (Superunie);04.01.2020;888249;RBES 6x125 S73TS KKZ410 BPR PL 8NL;6;20;50
Plus Hollander (Superunie);04.01.2020;890194;ARB 30GY 10x250 S22TS KKZ613BPR GB PL9NL;10;320;200
Plus Hollander (Superunie);04.01.2020;894390;VVTRCH FIJNJUAN 8x200STRFP KKZ410BPR PL8;8;400;240
Plus Hollander (Superunie);04.01.2020;897047;R BLMBR 3x2ST EKOSS KKZ416 BPR NA PL 8EU;3;120;
Plus Hollander (Superunie);04.01.2020;897049;R BLMBR3x2ST EKOSS KKZ416 BPRNAPL8ES;3;;180
Plus Hollander (Superunie);04.01.2020;902849;KK SN 10x5ST ZAK KKZ410 BPR PL 8NL;10;120;120
Plus Hollander (Superunie);04.01.2020;903043;KK SN 10x10ST ZAK KKZ416 BPR PL 8NL;10;80;
Plus Hollander (Superunie);04.01.2020;906296;R KK SN 10x10ST ZAK KKZ416 BPR PL 8ES;10;;60
Plus Hollander (Superunie);04.01.2020;906714;TCH PRU 10x200 ZAK KKZ410 BPR PL 8ES;10;;160
Plus Hollander (Superunie);04.01.2020;906971;TCH MX 10x500 ZAK KKZ416 BPR PL 8EN;10;100;130
Plus Hollander (Superunie);04.01.2020;906979;TCH PRU 10x500 ZAK KKZ416 BPR PL 8MA;10;100;
Plus Hollander (Superunie);04.01.2020;906981;TCH PRU 10x500 ZAK KKZ416 BPR PL 8ES;10;;390
Plus Hollander (Superunie);04.01.2020;906985;TCH PRU 10x200 ZAK KKZ410 BPR PL 8MA;10;80;
Plus Hollander (Superunie);04.01.2020;906990;TCH MX 10x200 ZAK KKZ410 BPR PL 8EN;10;80;80
Plus Hollander (Superunie);04.01.2020;907171;VVPAP MIN MXSWBI 10x150ZAK KKZ410BPR PL8;10;80;
Plus Hollander (Superunie);04.01.2020;908010;PAP MIN MXSWBI 10x150ZAK KKZ416BPR PL8ES;10;;100
Plus Hollander (Superunie);04.01.2020;909343;R BBES 4x500 S41TS KKZ410 BPR PL 7PE;4;120;120
Plus Hollander (Superunie);04.01.2020;909772;VVR BBESBIO+7x300 ST4T KKZ610 BPR BIOPL8;7;20;10
Plus Hollander (Superunie);05.01.2020;873889;R ROMAN 8SGEN 8ST FK618 PKB 7FR;8;10;
Plus Hollander (Superunie);05.01.2020;906971;TCH MX 10x500 ZAK KKZ416 BPR PL 8EN;10;;130
Plus Hollander (Superunie);05.01.2020;906979;TCH PRU 10x500 ZAK KKZ416 BPR PL 8MA;10;;130
Plus Hollander (Superunie);05.01.2020;906985;TCH PRU 10x200 ZAK KKZ410 BPR PL 8MA;10;;240
Plus Hollander (Superunie);05.01.2020;909836;VVR BLMKL4SBIO+ 4ST SEAFKKKZ416BPRBIOSU8;4;80;60
Plus Hollander (Superunie);05.01.2020;909872;VVR PAPRD201GBIO+10STFP1STKKZ416BPRBIOSU;10;40;30
Plus Hollander (Superunie);05.01.2020;909876;VVR TCHPRUBIO+ 8x400 SFP KKZ613BPRBIOSU8;8;60;40
Plus Hollander (Superunie);05.01.2020;909877;VVR TRTBIO+ 4x500 SFP KKZ416 BPR BIO SU8;4;120;60
Plus Hollander (Superunie);05.01.2020;909878;R PAPPUNRDBIO+RAMI4x2STZAKKFKKZ416BPRBIO;4;40;40
Plus Hollander (Superunie);06.01.2020;801505;TRT PRU MID 8x500 STRFP KKZ613 BPR PL8NL;8;400;240
Plus Hollander (Superunie);06.01.2020;804912;TRT GR 5KG TUSVL DT414G PP 8NL;5;360;360
Plus Hollander (Superunie);06.01.2020;873889;R ROMAN 8SGEN 8ST FK618 PKB 7FR;8;0;10
Plus Hollander (Superunie);06.01.2020;874474;R PAPPUN RDACRE 10x200 ZK2ST FK415PKB7ES;10;;240
Plus Hollander (Superunie);06.01.2020;874991;R BLMKL 6SLAAN 6ST KKZ618 BPR 7ES;6;55;110
Plus Hollander (Superunie);06.01.2020;883854;VVBBES 12x125 SKOD FK410 BPR PL 7PE;12;50;
Plus Hollander (Superunie);06.01.2020;886333;R BRAA 12x125 SKOD FK410 BPR PL 7MX;12;50;
Plus Hollander (Superunie);06.01.2020;886770;R FRAM 12x125 SKOD FK408 BPR PL 7MA;12;100;
Plus Hollander (Superunie);06.01.2020;887857;R BBES 6x125 S74TS KKZ410 BPR PL 7PE;6;80;
Plus Hollander (Superunie);06.01.2020;888061;BRAA 6x125 S74TS KKZ410 BPR PL 8NL;6;40;60
Plus Hollander (Superunie);06.01.2020;888085;R BBES 10x300 S75TS KKZ610 BPR PL 7PE;10;1.000;800
Plus Hollander (Superunie);06.01.2020;888110;VVR FRAM 10x250 S75TS KKZ610 BPR PL 7MA;10;40;60
Plus Hollander (Superunie);06.01.2020;888119;VVR FRAM 6x125 S73TS KKZ410 BPR PL 7MA;6;80;
Plus Hollander (Superunie);06.01.2020;888249;RBES 6x125 S73TS KKZ410 BPR PL 8NL;6;20;
Plus Hollander (Superunie);06.01.2020;890194;ARB 30GY 10x250 S22TS KKZ613BPR GB PL9NL;10;160;240
Plus Hollander (Superunie);06.01.2020;894390;VVTRCH FIJNJUAN 8x200STRFP KKZ410BPR PL8;8;200;200
Plus Hollander (Superunie);06.01.2020;895146;R BBESBIO+ 7x300 ST4T KKZ610 BPR BIO 8CL;7;;20
Plus Hollander (Superunie);06.01.2020;897047;R BLMBR 3x2ST EKOSS KKZ416 BPR NA PL 8EU;3;120;
Plus Hollander (Superunie);06.01.2020;897049;R BLMBR3x2ST EKOSS KKZ416 BPRNAPL8ES;3;;120
Plus Hollander (Superunie);06.01.2020;902849;KK SN 10x5ST ZAK KKZ410 BPR PL 8NL;10;80;160
Plus Hollander (Superunie);06.01.2020;903043;KK SN 10x10ST ZAK KKZ416 BPR PL 8NL;10;60;40
Plus Hollander (Superunie);06.01.2020;906971;TCH MX 10x500 ZAK KKZ416 BPR PL 8EN;10;80;
Plus Hollander (Superunie);06.01.2020;906979;TCH PRU 10x500 ZAK KKZ416 BPR PL 8MA;10;80;
Plus Hollander (Superunie);06.01.2020;906985;TCH PRU 10x200 ZAK KKZ410 BPR PL 8MA;10;80;
Plus Hollander (Superunie);06.01.2020;906990;TCH MX 10x200 ZAK KKZ410 BPR PL 8EN;10;80;80
Plus Hollander (Superunie);06.01.2020;907171;VVPAP MIN MXSWBI 10x150ZAK KKZ410BPR PL8;10;80;
Plus Hollander (Superunie);06.01.2020;908010;PAP MIN MXSWBI 10x150ZAK KKZ416BPR PL8ES;10;;120
Plus Hollander (Superunie);06.01.2020;909343;R BBES 4x500 S41TS KKZ410 BPR PL 7PE;4;60;
Plus Hollander (Superunie);06.01.2020;909772;VVR BBESBIO+7x300 ST4T KKZ610 BPR BIOPL8;7;10;
Plus Hollander (Superunie);06.01.2020;909836;VVR BLMKL4SBIO+ 4ST SEAFKKKZ416BPRBIOSU8;4;80;
Plus Hollander (Superunie);06.01.2020;909837;VVR BLMKL4SBIO+ 4ST SEAL KKZ416BPRBIOSU8;4;;120
Plus Hollander (Superunie);06.01.2020;909872;VVR PAPRD201GBIO+10STFP1STKKZ416BPRBIOSU;10;40;120
Plus Hollander (Superunie);06.01.2020;909876;VVR TCHPRUBIO+ 8x400 SFP KKZ613BPRBIOSU8;8;60;30
Plus Hollander (Superunie);06.01.2020;909877;VVR TRTBIO+ 4x500 SFP KKZ416 BPR BIO SU8;4;120;60
Plus Hollander (Superunie);06.01.2020;909878;R PAPPUNRDBIO+RAMI4x2STZAKKFKKZ416BPRBIO;4;40;60
Plus Hollander (Superunie);07.01.2020;801505;TRT PRU MID 8x500 STRFP KKZ613 BPR PL8NL;8;120;160
Plus Hollander (Superunie);07.01.2020;801712;VVPAP GE GG 12ST P1LSK KKZ416 BPR PL 8ES;12;;60
Plus Hollander (Superunie);07.01.2020;804912;TRT GR 5KG TUSVL DT414G PP 8NL;5;360;360
Plus Hollander (Superunie);07.01.2020;811076;R PAP PUN RD 8x200 ZK2ST KKZ416 BPRPL8ES;8;;240
Plus Hollander (Superunie);07.01.2020;873889;R ROMAN 8SGEN 8ST FK618 PKB 7FR;8;10;20
Plus Hollander (Superunie);07.01.2020;874991;R BLMKL 6SLAAN 6ST KKZ618 BPR 7ES;6;220;
Plus Hollander (Superunie);07.01.2020;883854;VVBBES 12x125 SKOD FK410 BPR PL 7PE;12;50;
Plus Hollander (Superunie);07.01.2020;886333;R BRAA 12x125 SKOD FK410 BPR PL 7MX;12;50;
Plus Hollander (Superunie);07.01.2020;886770;R FRAM 12x125 SKOD FK408 BPR PL 7MA;12;100;
Plus Hollander (Superunie);07.01.2020;887857;R BBES 6x125 S74TS KKZ410 BPR PL 7PE;6;80;60
Plus Hollander (Superunie);07.01.2020;888061;BRAA 6x125 S74TS KKZ410 BPR PL 8NL;6;40;30
Plus Hollander (Superunie);07.01.2020;888085;R BBES 10x300 S75TS KKZ610 BPR PL 7PE;10;1.000;1.200
Plus Hollander (Superunie);07.01.2020;888110;VVR FRAM 10x250 S75TS KKZ610 BPR PL 7MA;10;40;
Plus Hollander (Superunie);07.01.2020;888119;VVR FRAM 6x125 S73TS KKZ410 BPR PL 7MA;6;80;
Plus Hollander (Superunie);07.01.2020;888249;RBES 6x125 S73TS KKZ410 BPR PL 8NL;6;20;40
Plus Hollander (Superunie);07.01.2020;890194;ARB 30GY 10x250 S22TS KKZ613BPR GB PL9NL;10;160;240
Plus Hollander (Superunie);07.01.2020;894390;VVTRCH FIJNJUAN 8x200STRFP KKZ410BPR PL8;8;160;120
Plus Hollander (Superunie);07.01.2020;895146;R BBESBIO+ 7x300 ST4T KKZ610 BPR BIO 8CL;7;;20
Plus Hollander (Superunie);07.01.2020;897047;R BLMBR 3x2ST EKOSS KKZ416 BPR NA PL 8EU;3;120;
Plus Hollander (Superunie);07.01.2020;897049;R BLMBR3x2ST EKOSS KKZ416 BPRNAPL8ES;3;;120
Plus Hollander (Superunie);07.01.2020;902849;KK SN 10x5ST ZAK KKZ410 BPR PL 8NL;10;80;
Plus Hollander (Superunie);07.01.2020;903043;KK SN 10x10ST ZAK KKZ416 BPR PL 8NL;10;60;140
