Retail Client;Date;Article Code;Article Description;Size of Packing Unit;Prognosis (Packing Units);Realised Orders (Packing Units)
Jumbo Supermarkten BV;29.03.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;240
Jumbo Supermarkten BV;30.03.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1833;1560
Jumbo Supermarkten BV;01.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;818;1320
Jumbo Supermarkten BV;02.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;899;840
Jumbo Supermarkten BV;03.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;876;1320
Jumbo Supermarkten BV;04.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1210;1440
Jumbo Supermarkten BV;05.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1372;1680
Jumbo Supermarkten BV;06.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1428;1500
Jumbo Supermarkten BV;08.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;920;1080
Jumbo Supermarkten BV;09.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1011;1080
Jumbo Supermarkten BV;10.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;984;1320
Jumbo Supermarkten BV;11.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1359;1320
Jumbo Supermarkten BV;12.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1542;1560
Jumbo Supermarkten BV;13.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;0;600
Jumbo Supermarkten BV;19.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;0;1800
Jumbo Supermarkten BV;20.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;0;600
Jumbo Supermarkten BV;22.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;900;720
Jumbo Supermarkten BV;23.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;700;260
Jumbo Supermarkten BV;24.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;876;540
Jumbo Supermarkten BV;25.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1210;540
Jumbo Supermarkten BV;26.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1372;560
Jumbo Supermarkten BV;27.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1428;640
Jumbo Supermarkten BV;29.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;900;480
Jumbo Supermarkten BV;30.04.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;700;520
Jumbo Supermarkten BV;01.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;876;520
Jumbo Supermarkten BV;02.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1210;410
Jumbo Supermarkten BV;03.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1372;700
Jumbo Supermarkten BV;04.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;1428;640
Jumbo Supermarkten BV;06.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;469;600
Jumbo Supermarkten BV;07.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;465;660
Jumbo Supermarkten BV;08.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;462;660
Jumbo Supermarkten BV;09.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;558;388
Jumbo Supermarkten BV;10.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;657;1080
Jumbo Supermarkten BV;11.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;693;660
Jumbo Supermarkten BV;13.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;469;560
Jumbo Supermarkten BV;14.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;465;600
Jumbo Supermarkten BV;15.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;462;398
Jumbo Supermarkten BV;16.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;558;620
Jumbo Supermarkten BV;17.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;657;780
Jumbo Supermarkten BV;18.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;693;780
Jumbo Supermarkten BV;20.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;540;420
Jumbo Supermarkten BV;21.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;533;360
Jumbo Supermarkten BV;22.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;525;480
Jumbo Supermarkten BV;23.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;619;560
Jumbo Supermarkten BV;24.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;746;780
Jumbo Supermarkten BV;25.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;788;900
Jumbo Supermarkten BV;27.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;540;460
Jumbo Supermarkten BV;28.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;533;470
Jumbo Supermarkten BV;29.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;525;600
Jumbo Supermarkten BV;30.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;619;600
Jumbo Supermarkten BV;31.05.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;746;780
Jumbo Supermarkten BV;01.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;788;960
Jumbo Supermarkten BV;03.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;540;510
Jumbo Supermarkten BV;04.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;533;560
Jumbo Supermarkten BV;05.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;525;600
Jumbo Supermarkten BV;06.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;619;840
Jumbo Supermarkten BV;07.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;746;700
Jumbo Supermarkten BV;08.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;788;800
Jumbo Supermarkten BV;10.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;540;300
Jumbo Supermarkten BV;11.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;533;600
Jumbo Supermarkten BV;12.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;525;540
Jumbo Supermarkten BV;13.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;619;540
Jumbo Supermarkten BV;14.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;746;760
Jumbo Supermarkten BV;15.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;788;760
Jumbo Supermarkten BV;17.06.2019;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;540;400
