Retail Client;Date;Article Code;Article Description;Size of Packing Unit;Prognosis (Packing Units);Realised Orders (Packing Units)
Plus Hollander (Superunie);04.01.2021;262005;BLMKL 16C-OP 6ST PB618 PP NA 7NL;6;330;
Plus Hollander (Superunie);04.01.2021;262108;VVR ROMAN 14-15C 8ST FK614 PKB 8FR;8;10;
Plus Hollander (Superunie);04.01.2021;804912;TRT GR 5KG TUSVL DT414G PP 8NL;5;240;
Plus Hollander (Superunie);04.01.2021;811076;R PAP PUN RD 8x200 ZK2ST KKZ416 BPRPL8ES;8;;280
Plus Hollander (Superunie);04.01.2021;816067;R FRAM 6x125 SKOD KKZ410 BPR PL 8ES;6;160;
Plus Hollander (Superunie);04.01.2021;873889;R ROMAN 8SGEN 8ST FK618 PKB 7FR;8;10;10
Plus Hollander (Superunie);04.01.2021;874991;R BLMKL 6SLAAN 6ST KKZ618 BPR 7ES;6;;330
Plus Hollander (Superunie);04.01.2021;883536;R FRAM 6x125 SKOD KKZ410 BPR PL 8MA;6;;160
Plus Hollander (Superunie);04.01.2021;888061;BRAA 6x125 S74TS KKZ410 BPR PL 8NL;6;50;80
Plus Hollander (Superunie);04.01.2021;888084;BBES 10x300 S75TS KKZ610 BPR PL 8NL;10;30;
Plus Hollander (Superunie);04.01.2021;888085;R BBES 10x300 S75TS KKZ610 BPR PL 7PE;10;40;50
Plus Hollander (Superunie);04.01.2021;888109;R FRAM 10x250 S75TS KKZ610 BPR PL 7ES;10;60;
Plus Hollander (Superunie);04.01.2021;888110;VVR FRAM 10x250 S75TS KKZ610 BPR PL 7MA;10;;80
Plus Hollander (Superunie);04.01.2021;888249;RBES 6x125 S73TS KKZ410 BPR PL 8NL;6;30;50
Plus Hollander (Superunie);04.01.2021;890194;ARB 30GY 10x250 S22TS KKZ613BPR GB PL9NL;10;40;80
Plus Hollander (Superunie);04.01.2021;893548;ARB 27ELS 10x400 S03TS KKZ613 BPR PL 8NL;10;160;160
Plus Hollander (Superunie);04.01.2021;897048;BLMBR 3x2ST EKOSS KKZ416 BPR NA PL 8NL;3;120;
Plus Hollander (Superunie);04.01.2021;902849;KK SN 10x5ST ZAK KKZ410 BPR PL 8NL;10;80;100
Plus Hollander (Superunie);04.01.2021;903043;KK SN 10x10ST ZAK KKZ416 BPR PL 8NL;10;60;40
Plus Hollander (Superunie);04.01.2021;906714;TCH PRU 10x200 ZAK KKZ410 BPR PL 8ES;10;80;160
Plus Hollander (Superunie);04.01.2021;906971;TCH MX 10x500 ZAK KKZ416 BPR PL 8EN;10;130;145
Plus Hollander (Superunie);04.01.2021;906981;TCH PRU 10x500 ZAK KKZ416 BPR PL 8ES;10;130;390
Plus Hollander (Superunie);04.01.2021;906990;TCH MX 10x200 ZAK KKZ410 BPR PL 8EN;10;40;80
