Retail Client;Date;Article Code;Article Description;Size of Packing Unit ;Prognosis (Packing Units);Realised Orders (Packing Units)
Jumbo Supermarkten BV;29.03.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;420
Jumbo Supermarkten BV;30.03.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;470
Jumbo Supermarkten BV;31.03.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;720
Jumbo Supermarkten BV;02.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;220
Jumbo Supermarkten BV;03.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;420
Jumbo Supermarkten BV;04.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;540
Jumbo Supermarkten BV;05.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;659
Jumbo Supermarkten BV;06.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;720
Jumbo Supermarkten BV;07.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;620
Jumbo Supermarkten BV;09.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;420
Jumbo Supermarkten BV;10.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;480
Jumbo Supermarkten BV;11.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;534
Jumbo Supermarkten BV;12.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;600
Jumbo Supermarkten BV;13.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;;720
Jumbo Supermarkten BV;14.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;0;420
Jumbo Supermarkten BV;16.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;0;480
Jumbo Supermarkten BV;17.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;0;460
Jumbo Supermarkten BV;18.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;0;440
Jumbo Supermarkten BV;19.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;0;630
Jumbo Supermarkten BV;20.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;0;780
Jumbo Supermarkten BV;21.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;620;520
Jumbo Supermarkten BV;23.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;420;480
Jumbo Supermarkten BV;24.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;500
Jumbo Supermarkten BV;25.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;480
Jumbo Supermarkten BV;26.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;665;520
Jumbo Supermarkten BV;27.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;650;360
Jumbo Supermarkten BV;28.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;620;780
Jumbo Supermarkten BV;30.04.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;420;360
Jumbo Supermarkten BV;01.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;320
Jumbo Supermarkten BV;02.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;400
Jumbo Supermarkten BV;03.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;665;690
Jumbo Supermarkten BV;04.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;650;600
Jumbo Supermarkten BV;05.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;620;660
Jumbo Supermarkten BV;07.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;420;440
Jumbo Supermarkten BV;08.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;720
Jumbo Supermarkten BV;09.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;660
Jumbo Supermarkten BV;10.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;731;420
Jumbo Supermarkten BV;11.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;650;840
Jumbo Supermarkten BV;12.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;620;660
Jumbo Supermarkten BV;14.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;420;540
Jumbo Supermarkten BV;15.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;450
Jumbo Supermarkten BV;16.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;552;420
Jumbo Supermarkten BV;17.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;658;720
Jumbo Supermarkten BV;18.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;747;840
Jumbo Supermarkten BV;19.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;620;540
Jumbo Supermarkten BV;21.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;455;471
Jumbo Supermarkten BV;22.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;420
Jumbo Supermarkten BV;23.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;720
Jumbo Supermarkten BV;24.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;660;720
Jumbo Supermarkten BV;25.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;650;720
Jumbo Supermarkten BV;26.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;620;780
Jumbo Supermarkten BV;28.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;420;550
Jumbo Supermarkten BV;29.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;540
Jumbo Supermarkten BV;30.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;480;660
Jumbo Supermarkten BV;31.05.2018;204728;VVR PAP PUN RD 8x200 ZK2ST KKZ416 BPRJU8;8;660;480
