"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
896883,"vegetables","courgette","courgette green","NL","I","14","courg","stuks",8340,8,"R COURG 325G 14ST D414TN DPA BIO 8NL"
896884,"vegetables","courgette","courgette green","ES","I","14","courg","stuks",3845,8,"VVCOURG 325GBIO+ 14ST KKZ416 PP BIO 8ES"
896885,"vegetables","courgette","courgette green","NL","I","14","courg","stuks",3845,8,"VVCOURG 325GBIO+ 14ST KKZ416 PP BIO 8NL"
896886,"vegetables","courgette","courgette green","ES","I","4","courg","stuks",3845,8,"VVCOURG 325GBIO+ 4ST FP KKZ410 PP BIO 8E"
896887,"vegetables","courgette","courgette green","NL","I","4","courg","stuks",3845,8,"VVCOURG 325G 4ST FPZE KKZ416 BPR BIO 8NL"
896888,"vegetables","courgette","courgette green","NL","I","14","courg","stuks",3845,8,"VVCOURG 325G 14ST FPZE KKZ416 BPR BIO 8N"
896889,"vegetables","courgette","courgette green","NL","I","18","courg","stuks",8340,8,"R COURG 225G 18ST FK5910 DPA BIO 8NL"
896890,"vegetables","courgette","courgette green","ES","I","14","courg","stuks",8340,8,"R COURG 325G 14ST FK5910 DPA BIO 8ES"
896891,"vegetables","courgette","courgette green","ES","I","16","courg","stuks",3845,8,"VVCOURG 290G 16ST FK5910 DPA BIO 8ES"
896892,"vegetables","courgette","courgette green","ES","I","18","courg","stuks",3845,8,"VVCOURG 225G 18ST FK5910 DPA BIO 8ES"
896893,"vegetables","courgette","courgette green","ES","I","20","courg","stuks",3845,8,"VVCOURG 225G 20ST FK5910 DPA BIO 8ES"
896894,"vegetables","courgette","courgette green","NL","I","4","courg","stuks",3845,8,"VVCOURG 325G 4ST SFP D414TN PP BIO 3T 8N"
896895,"vegetables","courgette","courgette green","ES","I","5","courg","2 stuks",3845,8,"VVCOURG 325G 5X2ST SFP D414TN PP BIO 8ES"
