Retail Client;Date;Article Code;Article Description;Size of Packing Unit;Prognosis (Packing Units);Realised Orders (Packing Units)
Jumbo Supermarkten BV;09.01.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;210
Jumbo Supermarkten BV;11.01.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;74
Jumbo Supermarkten BV;23.01.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;20
Jumbo Supermarkten BV;25.01.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;560
Jumbo Supermarkten BV;27.01.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;88
Jumbo Supermarkten BV;29.01.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;45
Jumbo Supermarkten BV;06.02.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;184
Jumbo Supermarkten BV;08.02.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;80
Jumbo Supermarkten BV;09.02.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;40
Jumbo Supermarkten BV;10.02.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;198
Jumbo Supermarkten BV;11.02.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;222
Jumbo Supermarkten BV;12.02.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;230
Jumbo Supermarkten BV;13.02.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;160
Jumbo Supermarkten BV;15.02.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;108
Jumbo Supermarkten BV;05.03.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;58
Jumbo Supermarkten BV;11.03.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;4
Jumbo Supermarkten BV;12.03.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;50
Jumbo Supermarkten BV;17.03.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;30
Jumbo Supermarkten BV;18.03.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;10
Jumbo Supermarkten BV;31.03.2021;204732;R PAP RD GG 21ST FP1ST KKZ613 BPR JU8ES;21;;469
Jumbo Supermarkten BV;05.04.2021;236005;ASP 20-28 XW 5KG PB415 PP 9NL;5;;15
Jumbo Supermarkten BV;05.05.2021;236005;ASP 20-28 XW 5KG PB415 PP 9NL;5;;107
Jumbo Supermarkten BV;08.05.2021;236006;ASP 16-20 5KG PB415 PP 8NL;5;;9
