"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
225284,"exotic fruits","melon","watermelon","BR","I","20","wamel","kilogram",2174,8,"VVWAMEL 5S QUET 20KG FK617 PKB 8BR"
225285,"exotic fruits","melon","watermelon","CR","I","18","wamel","kilogram",2174,8,"VVWAMEL 5S QUET 18KG FK617 PKB 8CR"
225287,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL 6S CRIM 15KG FK617 PKB 8ES"
225288,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL 4S FASH 20KG FK624 PKB 8ES"
225289,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL 5S FASH 20KG FK624 PKB 8ES"
225290,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL 5S FASH 15KG FK617 PKB 8ES"
225291,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2143,8,"VVR WAMEL 6SFASH 15KG FK617 PKB 8ES"
225292,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL 6S FASH 20KG FK624 PKE 8ES"
225293,"exotic fruits","melon","watermelon","PA","I","17","wamel","kilogram",2174,8,"VVWAMEL 6S QUET 17KG FK617 PKB 8PA"
225294,"exotic fruits","melon","watermelon","PA","I","17","wamel","kilogram",2174,8,"VVWAMEL 5S QUET 17KG FK617 PKB 8PA"
225295,"exotic fruits","melon","watermelon","PA","I","16","wamel","kilogram",2174,8,"VVWAMEL 6S QUET 16KG FK617 PKB 8PA"
225296,"exotic fruits","melon","watermelon","PA","I","16","wamel","kilogram",2174,8,"VVWAMEL 7S QUET 16KG FK617 PKB 8PA"
225297,"exotic fruits","melon","watermelon","IT","I","20","wamel","kilogram",2174,8,"VVWAMEL 6S 20KG FK624 PKB 8IT"
225298,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL ZP 4S 20KG FK624 PKE 8ES"
225299,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL ZP 5S 20KG FK624 PKE 8ES"
225300,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL ZP 6S ACRE 15KG FK624 PKB 8ES"
225301,"exotic fruits","melon","watermelon","IT","I","15","wamel","kilogram",2174,8,"VVWAMEL ZP 6S 15KG FK617 PKB 8IT"
225302,"exotic fruits","melon","watermelon","ES","I","16","wamel","kilogram",2174,8,"VVWAMEL ZP 6S 16KG FK617 PKB 8ES"
225394,"exotic fruits","melon","melon special","NL","I","4","meloe","stuks",1315,7,"VVMELOE 4S GY OGEN 4XST PB415 PP PL 7NL"
225395,"exotic fruits","melon","melon special","NL","I","5","meloe","stuks",1315,7,"VVMELOE 5SOGEN 5ST PB415 PP 7NL"
225396,"exotic fruits","melon","melon special","NL","I","6","meloe","stuks",1315,7,"VVMELOE 6SOGEN 6ST PB415 PP 7NL"
225414,"exotic fruits","melon","cantaloupe","BR","I","5","meloe","kilogram",2143,8,"VVMELOE 5S CANT 5KG FK413 PKB 8BR"
225415,"exotic fruits","melon","galia","IL","I","5","meloe","kilogram",2143,8,"VVMELOE 5S GALI 5KG FK414 PP 8IL"
225423,"exotic fruits","melon","cantaloupe","HN","I","5","meloe","stuks",2174,8,"VVR MELOE 5SCANT 5ST FK414 PP 8HN"
225426,"exotic fruits","melon","piel de sapo","ES","I","9","meloe","kilogram",2143,8,"VVMELOE 8S PDS 9KG FK515 PKB 8ES"
225431,"exotic fruits","melon","cantaloupe","ES","I","5","meloe","stuks",2143,8,"VVMELOE5SCANT 5XST FK414 PP 8ES"
225434,"exotic fruits","melon","cantaloupe","IT","I","5","meloe","stuks",2143,8,"VVMELOE5SCANT 5XST FK413 PKB 8IT"
225463,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVWAMEL ZP6S 16KG FK616 PKB 8BR"
225464,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL ZP7S 20KG FK622 PKB 8ES"
225465,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL ZP4S 20KG FK622 PKB 8ES"
225466,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL ZP6S 15KG FK622 PKB 8ES"
225467,"exotic fruits","melon","watermelon","ES","I","17","wamel","kilogram",2174,8,"VVWAMEL ZP6S 17KG FK622 PKB 8ES"
225468,"exotic fruits","melon","watermelon","ES","I","18","wamel","kilogram",2174,8,"VVWAMEL ZP6S 18KG FK622 PKB 8ES"
225470,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2174,8,"VVWAMEL ZP6S 20KG FK622 PKB 8ES"
225471,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL ZP6S 15KG FK524O PKB 8ES"
225474,"exotic fruits","melon","watermelon","PA","I","18","wamel","kilogram",2174,8,"VVWAMEL6SQUET 18KG FK524O PKB 8PA"
225475,"exotic fruits","melon","watermelon","PA","I","16","wamel","kilogram",2174,8,"VVWAMEL6SQUET 16KG FK616 PKB 8PA"
225476,"exotic fruits","melon","watermelon","PA","I","17","wamel","kilogram",2174,8,"VVWAMEL6SQUET 17KG FK616 PKB 8PA"
225477,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVWAMEL7SQUET 16KG FK616 PKB 8BR"
225478,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVWAMEL6SQUET 16KG FK616 PKB 8BR"
225479,"exotic fruits","melon","watermelon","CR","I","18","wamel","kilogram",2174,8,"VVWAMEL6SQUET 18KG FK524O PKB 8CR"
225480,"exotic fruits","melon","watermelon","CR","I","16","wamel","kilogram",2174,8,"VVWAMEL6SQUET 16KG FK616 PKB 8CR"
225481,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVWAMEL5SQUET 16KG FK616 PKB 8BR"
225482,"exotic fruits","melon","watermelon","PA","I","18","wamel","kilogram",2174,8,"VVWAMEL5SQUET 18KG FK524O PKB 8PA"
225483,"exotic fruits","melon","watermelon","PA","I","17","wamel","kilogram",2174,8,"VVWAMEL5SQUET 17KG FK616 PKB 8PA"
225486,"exotic fruits","melon","piel de sapo","ES","I","6","meloe","kilogram",2143,8,"VVMELOE6SPDS 6KG FK513 PKB 8ES"
225487,"exotic fruits","melon","piel de sapo","ES","I","9","meloe","kilogram",2143,8,"VVMELOE8SPDS 9KG FK513 PKB 8ES"
225489,"exotic fruits","melon","piel de sapo","ES","I","9","meloe","kilogram",2143,8,"VVMELOE7SPDS 9KG FK513 PKB 8ES"
225490,"exotic fruits","melon","piel de sapo","ES","I","12","meloe","kilogram",2143,8,"VVMELOE6SPDS 12KG FK428 PKB 8ES"
225491,"exotic fruits","melon","piel de sapo","ES","I","14","meloe","kilogram",2143,8,"VVMELOE6SPDS 14KG FK614 PKB 8ES"
225492,"exotic fruits","melon","piel de sapo","ES","I","10","meloe","kilogram",2143,8,"VVMELOE6SPDS 10KG FK5417 PKB 8ES"
225493,"exotic fruits","melon","piel de sapo","ES","I","9","meloe","kilogram",2143,8,"VVMELOE6SPDS 9KG FK513 PKB 8ES"
225494,"exotic fruits","melon","piel de sapo","ES","I","9","meloe","kilogram",2143,8,"VVMELOE9SPDS 9KG FK513 PKB 8ES"
225512,"exotic fruits","melon","yellow hd","ES","I","9","meloe","kilogram",2143,8,"VVMELOE GE8SHOND 9KG FK513 PKB 8ES"
