"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
820187,"soft fruits","raspberry","raspberry","FR","I","9","fram","250 gram",2805,8,"VVR FRAM 9X250 S21D KKZ613 BPR JU 8FR"
820390,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB30SON 4X700 S14 D608GZ CPB OT AS 7N"
820391,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB30ELS 4X700 S14 D608GZ CPB OT AS 7N"
820574,"soft fruits","blackberry","blackberry","NL","I","16","braa","125 gram",1375,8,"VVBRAACHES 16X125 SKO FK608 PKB 8NL"
820575,"soft fruits","blackberry","blackberry","NL","I","15","braa","125 gram",1375,8,"VVBRAACHES 15X125 SKO FK608 PKB 8NL"
820576,"soft fruits","blackberry","blackberry","NL","I","15","braa","125 gram",1375,8,"BRAAINCE 15X125 SKO FK608 PKB 8NL"
820577,"soft fruits","blackberry","blackberry","NL","I","15","braa","125 gram",1375,8,"BRAALOCH 15X125 SKO FK608 PKB 8NL"
820578,"soft fruits","raspberry","raspberry","NL","I","10","fram","250 gram",1425,8,"VVFRAM GRGRAN 10X250 SKO FK608 PKB 8NL"
820579,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,8,"VVFRAM GRGRAN 12X125 SKO FK407 PKB 8NL"
820580,"soft fruits","raspberry","raspberry","NL","I","15","fram","125 gram",1425,8,"FRAM GRGRAN 15X125 SKO FK608 PKB 8NL"
820583,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1330,9,"VVARB 35DEL TRIU 8X500SZW DA513M DPB GL9"
820584,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1330,9,"VVARB 30DEL TRIU 8X500SZW DA513M DPB GL9"
820585,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1330,9,"VVARB 35DEL TRIU 8X500 S13DA513T DPB GL9"
820586,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1330,9,"VVARB 30DEL TRIU 8X500 S13DA513T DPB GL9"
820587,"soft fruits","strawberry","strawberry","DE","I","8","arb","500 gram",1330,9,"VVARB 35DEL TRIU 8X500SZW DA513M DPB TU9"
820588,"soft fruits","strawberry","strawberry","DE","I","8","arb","500 gram",1330,9,"VVARB 30DEL TRIU 8X500SZW DA513M DPB TU9"
820589,"soft fruits","strawberry","strawberry","DE","I","8","arb","500 gram",1330,9,"VVARB 35DEL TRIU 8X500 S13DA513T DPB TU9"
820590,"soft fruits","strawberry","strawberry","DE","I","8","arb","500 gram",1330,9,"VVARB 30DEL TRIU 8X500 S13DA513T DPB TU9"
820591,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,8,"VVARB 35TRIU 10X500 S01 PB613 PP GL 8BE"
820592,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,8,"VVARB 30TRIU 10X500 S01 PB613 PP GL 8BE"
820593,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,8,"VVARB 27TRIU 10X500 S01 PB613 PP GL 8BE"
820594,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,7,"VVARB 35TRIU 10X500 S01 PB613 PP GL 7BE"
820595,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,7,"VVARB 30TRIU 10X500 S01 PB613 PP GL 7BE"
820596,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,7,"VVARB 27TRIU 10X500 S01 PB613 PP GL 7BE"
820822,"soft fruits","berry","currant","PT","I","9","rbes","300 gram",2802,8,"VVRBES 9X300 S21D KKZ613 BPR JU 8PT"
821080,"soft fruits","raspberry","raspberry","BE","I","6","fram","125 gram",1425,8,"FRAM 6X125 S70D KKZ410 BPR JU 8BE"
821081,"soft fruits","raspberry","raspberry","BE","I","9","fram","250 gram",1425,8,"VVFRAM 9X250 S21D KKZ613 BPR JU 8BE"
821082,"soft fruits","berry","currant","NL","I","10","rbes","300 gram",1525,8,"VVRBESJUNI 10X300 S21 PB613 PP 8NL"
821083,"soft fruits","raspberry","raspberry","DE","I","9","fram","250 gram",1425,8,"VVFRAM 9X250 S21D KKZ613 BPR JU 8DE"
821086,"soft fruits","berry","currant","NL","I","9","rbes","300 gram",1525,8,"RBES 9X300 SKO FK411 PKB 8NL"
821087,"soft fruits","berry","currant","PT","I","9","rbes","300 gram",2802,8,"VVR RBES 9X300 SKO FK411 PKB 8PT"
821088,"soft fruits","blackberry","blackberry","NL","I","4","braa","125 gram",1375,8,"BRAA 4X125 SKO FK411 PKB 8NL"
821397,"soft fruits","blackberry","blackberry","DE","I","4","braa","125 gram",1375,8,"VVBRAA 4X125 S71D KKZ410 BPR JU 8DE"
821404,"soft fruits","berry","currant","NL","I","8","rbes","500 gram",1525,7,"RBESJUNI 8X500 S02 KHA512 DPA 7NL"
821405,"soft fruits","berry","blueberry","NL","I","6","bbes","125 gram",1360,8,"VVBBES 6X125 S71D D415HG EP AN 8NL"
821406,"soft fruits","raspberry","raspberry","NL","I","6","fram","125 gram",1425,8,"VVFRAM 6X125 S70D D415HG EP AN 8NL"
821407,"soft fruits","raspberry","raspberry","DE","I","6","fram","125 gram",1425,8,"VVFRAM 6X125 S70D D415HG EP AN 8DE"
821978,"soft fruits","strawberry","strawberry","NL","IND","110","arb","kilogram",1332,2,"VVARB 110KG INDVAT DPA 2NL"
821982,"soft fruits","blackberry","blackberry","NL","I","8","braa","125 gram",1375,8,"VVBRAA 8X125 SKOD FK411 PKB 8NL"
821987,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1335,9,"VVARB35DEL TRIU8X500SZW DA513T DPB OTQP9"
821988,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1335,9,"VVARB30DEL TRIU8X500SZW DA513T DPB OTQP9"
821989,"soft fruits","raspberry","raspberry","BE","I","8","fram","125 gram",1425,8,"VVFRAM 8X125 SKOD FK407 PKB 8BE"
822333,"soft fruits","berry","blueberry","NL","I","6","bbes","500 gram",1360,8,"BBES 6X500 SKO FK411 PKB 8NL"
822335,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1335,9,"VVARB35DEL TRIU8X500SZW DA513M DPB OTAS9"
822336,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1335,9,"VVARB30DEL TRIU8X500SZW DA513M DPB OTAS9"
822337,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1335,9,"VVARB35DEL TRIU8X500S13DA513T DPB OT AS9"
822338,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1335,9,"VVARB30DEL TRIU8X500S13DA513T DPB OT AS9"
822339,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1335,8,"VVARB 35TRIU 10X500 S01 PB613 PP OT AS 8"
822340,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1335,8,"VVARB 30TRIU 10X500 S01 PB613 PP OT AS 8"
822341,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1335,8,"VVARB 27TRIU 10X500 S01 PB613 PP OT AS 8"
822342,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1335,7,"VVARB 35TRIU 10X500 S01 PB613 PP OT AS 7"
822343,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1335,7,"VVARB 30TRIU 10X500 S01 PB613 PP OT AS 7"
822344,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1335,7,"VVARB 27TRIU 10X500 S01 PB613 PP OT AS 7"
822345,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1330,9,"VVARB35DEL TRIU8X500SZW DA513M DPB TUAS9"
822346,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1330,9,"VVARB30DEL TRIU8X500SZW DA513M DPB TUAS9"
822347,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1330,9,"VVARB35DEL TRIU8X500S13DA513T DPB TU AS9"
822348,"soft fruits","strawberry","strawberry","BE","I","8","arb","500 gram",1330,9,"VVARB30DEL TRIU8X500S13DA513T DPB TU AS9"
822349,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,8,"VVARB 35TRIU 10X500 S01 PB613 PP TU AS 8"
822350,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,8,"VVARB 30TRIU 10X500 S01 PB613 PP TU AS 8"
822351,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,8,"VVARB 27TRIU 10X500 S01 PB613 PP TU AS 8"
822352,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,7,"VVARB 35TRIU 10X500 S01 PB613 PP TU AS 7"
822353,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,7,"VVARB 30TRIU 10X500 S01 PB613 PP TU AS 7"
822354,"soft fruits","strawberry","strawberry","BE","I","10","arb","500 gram",1330,7,"VVARB 27TRIU 10X500 S01 PB613 PP TU AS 7"
822937,"soft fruits","strawberry","strawberry","NL","I","10","arb","250 gram",1335,9,"VVARB 35GY JIVE 10X250 SZW2 PB613 PP OT9"
822939,"soft fruits","strawberry","strawberry","NL","I","10","arb","250 gram",1335,9,"VVARB 30GY JIVE 10X250 SZW2 PB613 PP OT9"
822941,"soft fruits","strawberry","strawberry","NL","I","10","arb","250 gram",1335,9,"VVARB 27GY JIVE 10X250 SZW2 PB613 PP OT9"
822944,"soft fruits","strawberry","strawberry","NL","I","10","arb","250 gram",1330,9,"VVARB 35GY JIVE 10X250 SZW2 PB613 PP TU9"
822946,"soft fruits","strawberry","strawberry","NL","I","10","arb","250 gram",1330,9,"VVARB 30GY JIVE 10X250 SZW2 PB613 PP TU9"
822948,"soft fruits","strawberry","strawberry","NL","I","10","arb","250 gram",1330,9,"VVARB 27GY JIVE 10X250 SZW2 PB613 PP TU9"
822950,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,9,"VVARB 35TRIU 4X700 S14 PB613 PP OT 9NL"
822952,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB 35TRIU 4X700 S14 PB613 PP OT 7NL"
822954,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,9,"VVARB 30TRIU 4X700 S14 PB613 PP OT 9NL"
822955,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB 30TRIU 4X700 S14 PB613 PP OT 7NL"
822957,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,9,"VVARB 35TRIU 4X700 S14 PB613 PP TU 9NL"
822958,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,7,"VVARB 35TRIU 4X700 S14 PB613 PP TU 7NL"
822960,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,9,"VVARB 30TRIU 4X700 S14 PB613 PP TU 9NL"
822961,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,7,"VVARB 30TRIU 4X700 S14 PB613 PP TU 7NL"
822971,"soft fruits","strawberry","strawberry","NL","I","10","arb","250 gram",1330,9,"VVARB 35GY ELS 10X250 SZW2 PB613 PP TU 9"
822973,"soft fruits","strawberry","strawberry","NL","I","10","arb","250 gram",1330,9,"VVARB 30GY ELS 10X250 SZW2 PB613 PP TU 9"
823066,"soft fruits","berry","blueberry","NL","I","10","bbes","265 gram",1360,8,"VVBBES 10X265 S75 PB613 PP 8NL"
823071,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,9,"VVARB 35ELS 4X700 S14 PB613 PP OT AS 9NL"
823073,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB 35ELS 4X700 S14 PB613 PP OT AS 7NL"
823074,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,9,"VVARB 30ELS 4X700 S14 PB613 PP OT AS 9NL"
